"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 07:39:43 GMT 2021","Wed Aug 04 07:40:18 GMT 2021","35148","testproject","datadelete_test","","","","test_data_delete",""
"passed","Wed Aug 04 07:40:25 GMT 2021","Wed Aug 04 07:41:24 GMT 2021","59409","testproject","datasave_test","","","","test_data_save",""
"passed","Wed Aug 04 07:39:30 GMT 2021","Wed Aug 04 07:39:43 GMT 2021","12308","testproject","data_list_test","","","","test_data_list",""
"passed","Wed Aug 04 07:41:59 GMT 2021","Wed Aug 04 07:42:05 GMT 2021","5615","testproject","statement_test","","","","test_statement",""
"broken","Wed Aug 04 07:39:43 GMT 2021","Wed Aug 04 07:39:43 GMT 2021","0","testproject","datachange_test","","","","test_datachange",""
"failed","Wed Aug 04 07:41:41 GMT 2021","Wed Aug 04 07:41:49 GMT 2021","7896","testproject","pagination_test","","","","test_pagination",""
"passed","Wed Aug 04 07:41:31 GMT 2021","Wed Aug 04 07:41:41 GMT 2021","10265","testproject","logout_test","","","","test_logout",""
"passed","Wed Aug 04 07:40:18 GMT 2021","Wed Aug 04 07:40:25 GMT 2021","7030","testproject","datainput_test","","","","test_data_input",""
"passed","Wed Aug 04 07:41:24 GMT 2021","Wed Aug 04 07:41:31 GMT 2021","6910","testproject","login_test","","","","test_login",""
"passed","Wed Aug 04 07:41:49 GMT 2021","Wed Aug 04 07:41:59 GMT 2021","10042","testproject","registration_test","","","","test_registration",""
"passed","Wed Aug 04 07:39:43 GMT 2021","Wed Aug 04 07:39:43 GMT 2021","0","testproject","datachange_test","","","","test_data_change",""
"broken","Wed Aug 04 07:39:19 GMT 2021","Wed Aug 04 07:39:30 GMT 2021","11590","testproject","data_from_file_test","","","","test_data_from_file",""
